Bin	MET	MET	HT	HT	Nj	Nj	Nb	Bkg	bg_err_stat+	bg_err_sys+	bg_err_stat-	bg_err_sys-	Data
153	350	500	500	1000	9	Inf.	1	8.4	1.9	1.1	1.6	1.2	8
154	350	500	1000	Inf.	9	Inf.	1	18.4	3.1	1.9	2.8	2.	14
155	500	750	500	1000	9	Inf.	1	1.1	1.2	0.4	0.6	0.4	1
156	500	750	1000	Inf.	9	Inf.	1	4.5	1.6	0.8	1.2	0.9	4
157	750	Inf.	750	1500	9	Inf.	1	0.1	1.3	0.	0.	0.	0
158	750	Inf.	1500	Inf.	9	Inf.	1	0.18	0.93	0.06	0.15	0.01	0
159	300	350	500	1000	9	Inf.	2	9.8	2.2	1.2	2.	1.2	13
160	300	350	1000	Inf.	9	Inf.	2	12.7	2.8	1.4	2.6	1.4	10
161	350	500	500	1000	9	Inf.	2	8.7	2.	1.1	1.8	1.1	4
162	350	500	1000	Inf.	9	Inf.	2	12.7	2.6	1.3	2.4	1.3	12
163	500	750	500	1000	9	Inf.	2	0.61	0.95	0.23	0.24	0.23	0
164	500	750	1000	Inf.	9	Inf.	2	4.9	2.	0.7	1.7	0.7	7
165	750	Inf.	750	1500	9	Inf.	2	0.	1.1	0.	0.	0.	0
166	750	Inf.	1500	Inf.	9	Inf.	2	0.01	0.87	0.	0.01	0.	0
167	300	350	500	1000	9	Inf.	3	3.	1.2	0.7	0.9	0.6	1
168	300	350	1000	Inf.	9	Inf.	3	8.6	2.7	2.6	2.4	2.	4
169	350	500	500	1000	9	Inf.	3	3.1	1.3	0.6	1.	0.6	3
170	350	500	1000	Inf.	9	Inf.	3	3.8	1.1	1.6	0.7	1.3	2
171	500	750	500	1000	9	Inf.	3	0.18	0.91	0.11	0.09	0.11	0
172	500	750	1000	Inf.	9	Inf.	3	1.1	1.1	0.4	0.4	0.4	3
173	750	Inf.	750	1500	9	Inf.	3	0.01	0.97	0.02	0.01	0.	0
174	750	Inf.	1500	Inf.	9	Inf.	3	0.02	0.89	0.02	0.02	0.	0
